Private Total Number,Employment Based Number,Direct Purchase Number,Tricare Number
216532,177175,34041,9183
177608,147446,25149,8055
59664,48317,9790,2734
44396,38888,3890,2202
13438,11791,1077,760
522,439,68,24
38402,29291,8824,1104
169847,137623,28224,7070
143479,115881,24216,6066
23693,20097,2792,1190
14571,12360,2122,323
30515,25178,4557,1223
188829,163633,21028,7394
47393,41459,4242,2312
6256,5488,472,395
7266,6369,618,370
15013,13132,1345,760
18857,16470,1806,787
141437,122174,16786,5082
20320,17194,2726,820
28791,25099,3068,1263
30952,27393,2969,1081
61374,52487,8023,1918
27702,13542,13013,1789
106915,88030,15933,4950
109616,89145,18109,4234
191546,157400,29009,8620
24985,19776,5033,563
14466,11469,2821,421
10519,8306,2212,142
37864,32106,5823,627
48376,40315,7656,1170
79551,63087,12677,5242
50741,41667,7885,2144
9994,5264,4382,540
25201,16875,7581,1268
32879,25294,6388,1885
31788,26512,4525,1402
27749,23931,3146,1140
20532,17822,2177,895
68389,61478,5842,2054
152451,131762,17876,5543
123273,109298,12305,3870
86670,79282,5944,2649
36603,30015,6361,1221
29178,22464,5571,1673
152451,131762,17876,5543
6889,5408,1272,366
144474,126189,16587,4098
121117,104980,14060,4262
4868,3894,951,87
26988,22825,3725,818
17335,14595,2292,792
13825,11986,1492,635
35903,31668,3680,1212
22197,20012,1919,718
123273,109298,12305,3870
33244,25757,7284,782
8206,7492,729,103
14937,13984,902,309
6814,6486,336,117
60073,55579,3054,2560
216431,177084,34031,9183
8629,5302,3104,376
14263,8935,4859,744
20714,14088,5770,1315
30403,23111,6303,1573
30010,24168,4960,1451
126675,110416,13893,4468
76707,65366,9258,3380
77138,64216,11282,2913
48386,38120,9265,1925
11214,7721,3084,700
3086,1753,1152,264
141437,122174,16786,5082
81154,70633,8177,3818
1984,1543,410,88
12020,10097,1854,301
1982,1673,298,53
44295,38228,6047,823
190546,157282,28683,7857
65703,54142,10038,2850
124842,103140,18645,5007
25986,19894,5359,1326
