Year,Private Total Number,Employment Based Number,Direct Purchase Number,Tricare Number
2021,Number,Number,Number,Number
2021,216366,178285,33555,8299
2021,177408,148318,24939,7186
2021,59746,48773,9683,2495
2021,44478,39375,3854,1731
2021,13017,11533,1051,554
2021,474,418,53,9
2021,38483,29549,8562,1103
2021,168728,137817,27547,6431
2021,142217,115995,23249,5623
2021,24233,20478,2936,1109
2021,14971,12719,2231,274
2021,30489,25240,4753,1001
2021,188988,164601,21266,6422
2021,47643,42113,4232,1830
2021,6013,5280,491,280
2021,7071,6296,583,277
2021,15023,13291,1300,610
2021,19536,17246,1858,664
2021,141344,122488,17034,4592
2021,19812,16776,2592,828
2021,28447,24973,3105,943
2021,31767,27972,3298,1051
2021,61318,52768,8040,1771
2021,27378,13684,12288,1876
2021,107186,88898,15904,4274
2021,109179,89387,17651,4025
2021,190775,157996,28344,7789
2021,25591,20289,5211,510
2021,14301,11603,2549,394
2021,11290,8686,2662,116
2021,38153,32039,6019,774
2021,48222,40754,7081,1131
2021,79818,63675,13017,4498
2021,50172,41817,7437,1895
2021,9535,4989,4184,570
2021,22357,15100,6597,1104
2021,31043,24176,6069,1415
2021,30128,24941,4520,1172
2021,28229,24546,3209,899
2021,21131,18474,2223,889
2021,73942,66059,6753,2250
2021,152738,132539,18140,4979
2021,124170,110636,12444,3412
2021,94415,86164,7192,2360
2021,29755,24472,5252,1053
2021,28568,21903,5696,1566
2021,152738,132539,18140,4979
2021,7766,6035,1525,446
2021,144060,126355,16605,3637
2021,121532,105713,14442,3764
2021,4664,3730,937,63
2021,27996,23772,3922,779
2021,16773,14343,2144,669
2021,13681,11850,1562,542
2021,36157,31915,3925,1078
2021,22261,20101,1953,634
2021,124170,110636,12444,3412
2021,33047,25896,7161,732
2021,8158,7283,852,176
2021,15419,14488,881,304
2021,7049,6612,410,139
2021,60496,56357,3140,2061
2021,216248,178195,33528,8299
2021,8552,5092,3189,495
2021,13606,8467,4644,799
2021,20276,14052,5568,1008
2021,29988,22982,6240,1246
2021,30360,25106,4666,1120
2021,127072,110962,13866,4430
2021,73692,63376,8749,2621
2021,77499,65136,11267,2574
2021,50558,39981,9516,2053
2021,11862,8203,3067,799
2021,2756,1589,956,252
2021,141344,122488,17034,4592
2021,80941,71232,8096,3252
2021,1816,1409,368,90
2021,11694,9729,1836,349
2021,2147,1794,324,52
2021,44746,38325,6410,849
2021,190206,157860,28562,7010
2021,64289,53656,9694,2161
2021,125917,104203,18868,4848
2021,26160,20425,4993,1289
