Private Total Number,Employment Based Number,Direct Purchase Number,Tricare Number
"220,848","183,005","33,170","8,534"
,,,
"182,485","153,350","24,733","7,592"
"60,605","49,517","9,680","2,596"
"45,381","40,350","3,658","1,877"
"13,835","12,187","1,065",729
551,457,74,26
"37,811","29,197","8,363",916
,,,
"173,795","142,811","27,523","6,458"
"146,347","119,598","23,827","5,542"
"23,718","20,507","2,550","1,057"
"14,810","12,428","2,228",436
"31,227","26,383","4,142","1,144"
,,,
"192,664","169,322","19,964","6,630"
"48,778","43,336","3,977","2,015"
"6,594","5,770",472,414
"7,340","6,501",603,319
"15,312","13,622","1,237",634
"19,532","17,443","1,664",647
"143,887","125,986","15,987","4,614"
"20,954","17,998","2,622",805
"28,951","25,572","2,967","1,086"
"31,296","28,146","2,733",915
"62,686","54,270","7,665","1,807"
"28,183","13,682","13,206","1,904"
,,,
"109,124","91,005","15,650","4,454"
"111,724","92,000","17,521","4,080"
,,,
"194,926","162,102","28,216","7,974"
"25,921","20,903","4,954",560
"14,556","11,743","2,641",428
"11,366","9,159","2,314",132
,,,
"38,985","33,356","5,698",710
"49,384","41,499","7,638","1,206"
"80,678","65,787","11,705","4,385"
"51,800","42,363","8,129","2,232"
,,,
"9,682","5,388","3,899",545
"25,472","17,842","6,968","1,127"
"34,022","26,851","6,129","1,751"
"32,739","27,184","4,727","1,455"
"29,024","25,178","3,195","1,067"
"20,802","18,179","2,314",694
"69,105","62,383","5,939","1,896"
,,,
"155,265","136,116","16,957","5,011"
"127,061","113,640","12,255","3,513"
"96,778","88,182","7,467","2,497"
"30,283","25,457","4,788","1,016"
"28,204","22,477","4,702","1,498"
,,,
"155,265","136,116","16,957","5,011"
"7,117","5,699","1,118",418
"147,174","130,216","15,832","3,629"
,,,
"122,932","107,988","13,365","3,809"
"5,346","4,338","1,012",59
"28,030","24,042","3,656",796
"17,923","15,575","1,882",769
"14,272","12,556","1,399",553
"35,535","31,559","3,649",998
"21,827","19,919","1,767",634
,,,
"127,061","113,640","12,255","3,513"
"34,791","27,508","7,386",671
"8,619","7,738",894,152
"15,646","14,805",873,283
"7,215","6,840",344,121
"60,789","56,748","2,758","2,286"
,,,
"220,691","182,866","33,158","8,527"
"7,769","5,172","2,225",474
"13,288","8,949","3,816",705
"20,467","14,650","5,276",929
"30,812","23,571","6,327","1,479"
"31,284","25,660","4,821","1,333"
"130,358","113,813","14,510","4,313"
,,,
"81,530","70,045","9,829","3,127"
"78,854","66,985","10,528","2,592"
"46,930","36,989","8,939","1,880"
"10,735","7,342","2,854",709
"2,800","1,644","1,020",226
,,,
"143,887","125,986","15,987","4,614"
"84,045","74,212","7,942","3,552"
"1,876","1,485",374,55
"12,335","10,642","1,625",225
"1,971","1,704",261,30
"43,659","37,942","5,785",753
,,,
"194,412","162,465","27,817","7,481"
"66,904","56,312","9,457","2,438"
"127,508","106,153","18,359","5,043"
"26,435","20,540","5,354","1,052"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
