Year,Private Total Number,Employment Based Number,Direct Purchase Number,Tricare Number
2020,216532,177175,34041,9183
2020,177608,147446,25149,8055
2020,59664,48317,9790,2734
2020,44396,38888,3890,2202
2020,13438,11791,1077,760
2020,522,439,68,24
2020,38402,29291,8824,1104
2020,169847,137623,28224,7070
2020,143479,115881,24216,6066
2020,23693,20097,2792,1190
2020,14571,12360,2122,323
2020,30515,25178,4557,1223
2020,188829,163633,21028,7394
2020,47393,41459,4242,2312
2020,6256,5488,472,395
2020,7266,6369,618,370
2020,15013,13132,1345,760
2020,18857,16470,1806,787
2020,141437,122174,16786,5082
2020,20320,17194,2726,820
2020,28791,25099,3068,1263
2020,30952,27393,2969,1081
2020,61374,52487,8023,1918
2020,27702,13542,13013,1789
2020,106915,88030,15933,4950
2020,109616,89145,18109,4234
2020,191546,157400,29009,8620
2020,24985,19776,5033,563
2020,14466,11469,2821,421
2020,10519,8306,2212,142
2020,37864,32106,5823,627
2020,48376,40315,7656,1170
2020,79551,63087,12677,5242
2020,50741,41667,7885,2144
2020,9994,5264,4382,540
2020,25201,16875,7581,1268
2020,32879,25294,6388,1885
2020,31788,26512,4525,1402
2020,27749,23931,3146,1140
2020,20532,17822,2177,895
2020,68389,61478,5842,2054
2020,152451,131762,17876,5543
2020,123273,109298,12305,3870
2020,86670,79282,5944,2649
2020,36603,30015,6361,1221
2020,29178,22464,5571,1673
2020,152451,131762,17876,5543
2020,6889,5408,1272,366
2020,144474,126189,16587,4098
2020,121117,104980,14060,4262
2020,4868,3894,951,87
2020,26988,22825,3725,818
2020,17335,14595,2292,792
2020,13825,11986,1492,635
2020,35903,31668,3680,1212
2020,22197,20012,1919,718
2020,123273,109298,12305,3870
2020,33244,25757,7284,782
2020,8206,7492,729,103
2020,14937,13984,902,309
2020,6814,6486,336,117
2020,60073,55579,3054,2560
2020,216431,177084,34031,9183
2020,8629,5302,3104,376
2020,14263,8935,4859,744
2020,20714,14088,5770,1315
2020,30403,23111,6303,1573
2020,30010,24168,4960,1451
2020,126675,110416,13893,4468
2020,76707,65366,9258,3380
2020,77138,64216,11282,2913
2020,48386,38120,9265,1925
2020,11214,7721,3084,700
2020,3086,1753,1152,264
2020,141437,122174,16786,5082
2020,81154,70633,8177,3818
2020,1984,1543,410,88
2020,12020,10097,1854,301
2020,1982,1673,298,53
2020,44295,38228,6047,823
2020,190546,157282,28683,7857
2020,65703,54142,10038,2850
2020,124842,103140,18645,5007
2020,25986,19894,5359,1326
