Characteristic,Total,Public Total Number,Public Number MOE,Public Total Percent,Public Percent MOE,Medicare Number,Medicare Number MOE,Medicare Percent,Medicare Percent MOE,Medicaid Number,Medicaid Number MOE,Medicaid Percent,Medicaid Percent MOE,VA/CHAMPVA Number,VA/CHAMPVA Number MOE,VA/CHAMPVA Percent,VA/CHAMPVA Percent MOE
Total,"328,074","117,095",911,35.7,0.3,"60,226",378.0,18.4,0.1,"61,940",843,18.9,0.3,"3,151",192.0,1.0,0.1
Family Status,,,,,,,,,,,,,,,,,
In families,"263,127","90,310",894,34.3,0.3,"40,859",460.0,15.5,0.2,"52,237",793,19.9,0.3,"2,138",161.0,0.8,0.1
..Householder,"84,283","29,890",335,35.5,0.4,"19,777",283.0,23.5,0.3,"11,145",261,13.2,0.3,"1,121",98.0,1.3,0.1
..Related children under 18,"71,491","25,905",480,36.2,0.7,334,70.0,0.5,0.1,"25,573",475,35.8,0.6,99,36.0,0.1,Z
....Related children under 6,"21,566","8,206",229,38.1,1.1,77,25.0,0.4,0.1,"8,126",227,37.7,1.1,33,18.0,0.2,0.1
In unrelated subfamilies,"1,024",416,84,40.6,5.7,22,15.0,2.2,1.4,394,81,38.5,5.6,Z,1.0,Z,0.1
Unrelated individuals,"63,923","26,369",510,41.3,0.6,"19,345",439.0,30.3,0.6,"9,309",315,14.6,0.5,"1,012",103.0,1.6,0.2
Race3 and Hispanic Origin,,,,,,,,,,,,,,,,,
White,"248,776","87,106",754,35.0,0.3,"49,236",333.0,19.8,0.1,"41,262",693,16.6,0.3,"2,468",169.0,1.0,0.1
"..White, not Hispanic","194,186","67,238",672,34.6,0.3,"44,404",307.0,22.9,0.2,"25,442",607,13.1,0.3,"2,229",161.0,1.1,0.1
Black,"43,963","18,753",455,42.7,1.0,"6,840",156.0,15.6,0.4,"13,002",454,29.6,1.0,450,70.0,1.0,0.2
Asian,"20,681","5,667",272,27.4,1.3,"2,826",94.0,13.7,0.4,"3,308",269,16.0,1.3,96,28.0,0.5,0.1
Hispanic (any race),"62,515","23,113",485,37.0,0.8,"5,508",137.0,8.8,0.2,"18,481",467,29.6,0.7,271,50.0,0.4,0.1
Age,,,,,,,,,,,,,,,,,
Under 65 years,"271,881","64,536",865,23.7,0.3,"7,750",311.0,2.9,0.1,"57,758",829,21.2,0.3,"1,895",152.0,0.7,0.1
..Under 19 years 4,"77,026","28,053",466,36.4,0.6,367,78.0,0.5,0.1,"27,687",463,35.9,0.6,106,36.0,0.1,Z
....Under 3 years 5,"10,221","3,931",154,38.5,1.5,28,14.0,0.3,0.1,"3,901",153,38.2,1.5,11,9.0,0.1,0.1
....3 to 5 years,"11,668","4,496",146,38.5,1.2,49,22.0,0.4,0.2,"4,446",144,38.1,1.2,23,14.0,0.2,0.1
....6 to 11 years,"24,440","9,106",229,37.3,0.9,153,49.0,0.6,0.2,"8,971",230,36.7,0.9,31,17.0,0.1,0.1
....12 to 18 years,"30,696","10,521",266,34.3,0.8,137,36.0,0.4,0.1,"10,369",265,33.8,0.8,41,19.0,0.1,0.1
..19 to 64 years,"194,855","36,483",608,18.7,0.3,"7,383",308.0,3.8,0.2,"30,071",562,15.4,0.3,"1,789",141.0,0.9,0.1
....19 to 25 years 6,"29,045","5,582",214,19.2,0.7,418,68.0,1.4,0.2,"5,235",213,18.0,0.7,41,16.0,0.1,0.1
....26 to 34 years,"40,312","7,592",258,18.8,0.6,736,85.0,1.8,0.2,"6,777",255,16.8,0.6,371,67.0,0.9,0.2
....35 to 44 years,"43,190","7,559",260,17.5,0.6,"1,093",105.0,2.5,0.2,"6,524",256,15.1,0.6,385,54.0,0.9,0.1
....45 to 64 years,"82,308","15,749",405,19.1,0.5,"5,137",254.0,6.2,0.3,"11,534",346,14.0,0.4,992,104.0,1.2,0.1
65 and over,"56,193","52,559",174,93.5,0.3,"52,476",177.0,93.4,0.3,"4,183",200,7.4,0.4,"1,256",121.0,2.2,0.2
Sex,,,,,,,,,,,,,,,,,
Male,"161,758","54,672",522,33.8,0.3,"27,403",261.0,16.9,0.2,"29,043",467,18.0,0.3,"2,199",149.0,1.4,0.1
Female,"166,316","62,422",535,37.5,0.3,"32,823",218.0,19.7,0.1,"32,897",513,19.8,0.3,951,91.0,0.6,0.1
Nativity,,,,,,,,,,,,,,,,,
Native-born,"281,229","102,229",908,36.4,0.3,"52,721",431.0,18.7,0.1,"53,239",797,18.9,0.3,"2,997",181.0,1.1,0.1
Foreign-born,"46,845","14,865",426,31.7,0.8,"7,504",247.0,16.0,0.5,"8,702",375,18.6,0.8,154,35.0,0.3,0.1
..Naturalized citizen,"22,877","8,863",299,38.7,1.1,"5,815",229.0,25.4,0.9,"4,089",217,17.9,0.9,112,30.0,0.5,0.1
..Not a citizen,"23,968","6,003",284,25.0,1.1,"1,689",130.0,7.0,0.5,"4,612",270,19.2,1.1,42,18.0,0.2,0.1
Region,,,,,,,,,,,,,,,,,
Northeast,"56,065","21,755",587,38.8,1.0,"10,900",310.0,19.4,0.6,"12,251",487,21.9,0.9,328,67.0,0.6,0.1
Midwest,"67,933","23,990",615,35.3,0.9,"13,014",309.0,19.2,0.4,"11,857",515,17.5,0.7,622,93.0,0.9,0.1
South,"126,144","42,849",635,34.0,0.5,"23,178",388.0,18.4,0.3,"21,336",537,16.9,0.4,"1,351",119.0,1.1,0.1
West,"77,933","28,500",503,36.6,0.6,"13,134",252.0,16.9,0.3,"16,498",474,21.2,0.6,850,91.0,1.1,0.1
Household Income,,,,,,,,,,,,,,,,,
"Less than $25,000","39,563","28,260",713,71.4,0.9,"13,928",397.0,35.2,0.9,"17,481",584,44.2,0.9,422,74.0,1.1,0.2
"$25,000 to less than $50,000","52,295","30,142",768,57.6,0.9,"14,444",413.0,27.6,0.7,"16,925",569,32.4,0.8,665,89.0,1.3,0.2
"$50,000 to less than $75,000","51,792","21,339",639,41.2,0.9,"10,297",351.0,19.9,0.6,"11,568",510,22.3,0.8,594,77.0,1.1,0.1
"$75,000 to less than $100,000","41,533","12,424",511,29.9,0.9,"6,315",282.0,15.2,0.6,"6,234",378,15.0,0.8,433,75.0,1.0,0.2
"$100,000 to less than $125,000","35,351","8,167",398,23.1,0.9,"4,364",239.0,12.3,0.6,"3,828",319,10.8,0.8,333,57.0,0.9,0.2
"$125,000 to less than $150,000","25,262","5,205",313,20.6,1.0,"3,048",208.0,12.1,0.8,"2,162",217,8.6,0.8,219,48.0,0.9,0.2
"$150,000 or more","82,278","11,557",444,14.0,0.5,"7,830",334.0,9.5,0.4,"3,742",261,4.5,0.3,485,72.0,0.6,0.1
Work Experience,,,,,,,,,,,,,,,,,
"....Total, 15 to 64 years old","212,530","42,305",680,19.9,0.3,"7,469",305.0,3.5,0.1,"35,792",641,16.8,0.3,"1,818",144.0,0.9,0.1
All workers,"155,775","18,913",434,12.1,0.3,"1,273",115.0,0.8,0.1,"16,911",420,10.9,0.3,"1,109",110.0,0.7,0.1
"..Worked full-time, year-round","111,015","8,798",263,7.9,0.2,505,71.0,0.5,0.1,"7,617",247,6.9,0.2,781,86.0,0.7,0.1
"..Less than full-time, year-round","44,760","10,116",299,22.6,0.6,768,83.0,1.7,0.2,"9,295",289,20.8,0.6,328,58.0,0.7,0.1
Did not work at least one week,"56,756","23,392",497,41.2,0.7,"6,196",285.0,10.9,0.5,"18,881",441,33.3,0.7,709,92.0,1.2,0.2
Disability Status7,,,,,,,,,,,,,,,,,
"....Total, 15 to 64 years old","212,530","42,305",680,19.9,0.3,"7,469",305.0,3.5,0.1,"35,792",641,16.8,0.3,"1,818",144.0,0.9,0.1
With disability,"16,780","8,774",322,52.3,1.3,"3,427",184.0,20.4,1.0,"6,543",271,39.0,1.2,415,62.0,2.5,0.4
Without disability,"194,836","33,485",632,17.2,0.3,"4,042",219.0,2.1,0.1,"29,217",591,15.0,0.3,"1,389",129.0,0.7,0.1
Education,,,,,,,,,,,,,,,,,
"....Total, 26 to 64 years old","165,810","30,900",540,18.6,0.3,"6,965",296.0,4.2,0.2,"24,835",488,15.0,0.3,"1,748",140.0,1.1,0.1
No high school diploma,"13,604","5,222",236,38.4,1.3,"1,067",105.0,7.8,0.7,"4,629",218,34.0,1.3,35,18.0,0.3,0.1
High school graduate (includes equivalency),"45,600","12,035",370,26.4,0.7,"2,981",194.0,6.5,0.4,"9,743",339,21.4,0.7,418,65.0,0.9,0.1
"Some college, no degree","23,509","5,194",213,22.1,0.8,"1,154",104.0,4.9,0.4,"4,078",192,17.3,0.8,404,61.0,1.7,0.3
Associate's degree,"17,729","3,197",164,18.0,0.8,681,74.0,3.8,0.4,"2,495",144,14.1,0.7,304,47.0,1.7,0.3
Bachelor's degree,"41,218","3,691",177,9.0,0.4,695,73.0,1.7,0.2,"2,794",154,6.8,0.4,410,59.0,1.0,0.1
Graduate degree or higher,"24,150","1,561",126,6.5,0.5,387,60.0,1.6,0.2,"1,097",110,4.5,0.5,177,42.0,0.7,0.2
Firm Size,,,,,,,,,,,,,,,,,
"....Total, workers 15 to 64 years old","155,775","18,913",434,12.1,0.3,"1,273",115.0,0.8,0.1,"16,911",420,10.9,0.3,"1,109",110.0,0.7,0.1
Less than 25 employees,"49,215","8,087",310,16.4,0.6,508,78.0,1.0,0.2,"7,437",284,15.1,0.5,312,52.0,0.6,0.1
25 to 99 employees,"10,460","1,344",96,12.9,0.9,93,28.0,0.9,0.3,"1,190",96,11.4,0.9,88,28.0,0.8,0.3
100 to 499 employees,"17,955","1,734",134,9.7,0.7,128,37.0,0.7,0.2,"1,520",122,8.5,0.7,104,29.0,0.6,0.2
500 to 999 employees,"8,048",645,64,8.0,0.8,41,17.0,0.5,0.2,594,61,7.4,0.7,17,12.0,0.2,0.1
1000 or more employees,"70,096","7,103",273,10.1,0.4,503,69.0,0.7,0.1,"6,171",259,8.8,0.4,588,76.0,0.8,0.1
Income-to-Poverty Ratio,,,,,,,,,,,,,,,,,
"....Total, poverty universe","327,548","116,697",913,35.6,0.3,"60,224",378.0,18.4,0.1,"61,544",845,18.8,0.3,"3,151",192.0,1.0,0.1
Below 100 percent of poverty,"37,808","25,225",716,66.7,1.0,"7,453",298.0,19.7,0.7,"19,919",618,52.7,1.0,208,49.0,0.6,0.1
Below 138 percent of poverty,"56,839","37,750",815,66.4,0.8,"12,363",366.0,21.8,0.6,"28,682",716,50.5,0.8,351,63.0,0.6,0.1
Between 100 and 199 percent of poverty,"52,533","30,161",783,57.4,0.8,"12,671",380.0,24.1,0.6,"19,499",659,37.1,0.8,517,77.0,1.0,0.1
Between 200 and 299 percent of poverty,"49,916","19,625",524,39.3,0.8,"9,826",293.0,19.7,0.6,"10,404",453,20.8,0.8,539,74.0,1.1,0.1
Between 300 and 399 percent of poverty,"42,688","13,142",445,30.8,0.8,"7,703",304.0,18.0,0.6,"5,712",335,13.4,0.7,497,66.0,1.2,0.2
At or above 400 percent of poverty,"144,603","28,545",556,19.7,0.4,"22,572",446.0,15.6,0.3,"6,009",307,4.2,0.2,"1,389",113.0,1.0,0.1
Health Status,,,,,,,,,,,,,,,,,
Excellent,"98,070","22,431",596,22.9,0.6,"5,697",258.0,5.8,0.3,"16,761",546,17.1,0.5,329,60.0,0.3,0.1
Very Good,"107,795","31,904",716,29.6,0.6,"15,161",403.0,14.1,0.3,"17,050",553,15.8,0.5,712,92.0,0.7,0.1
