date,total_cases
2020-01-22,4
2020-01-23,6
2020-01-24,7
2020-01-25,7
2020-01-26,8
2020-01-27,8
2020-01-28,8
2020-01-29,8
2020-01-30,8
2020-01-31,9
2020-02-01,10
2020-02-02,13
2020-02-03,17
2020-02-04,19
2020-02-05,19
2020-02-06,19
2020-02-07,20
2020-02-08,20
2020-02-09,20
2020-02-10,20
2020-02-11,20
2020-02-12,22
2020-02-13,23
2020-02-14,24
2020-02-15,24
2020-02-16,24
2020-02-17,26
2020-02-18,31
2020-02-19,34
2020-02-20,35
2020-02-21,40
2020-02-22,48
2020-02-23,48
2020-02-24,52
2020-02-25,56
2020-02-26,64
2020-02-27,69
2020-02-28,73
2020-02-29,82
2020-03-01,100
2020-03-02,135
2020-03-03,186
2020-03-04,256
2020-03-05,334
2020-03-06,464
2020-03-07,610
2020-03-08,822
2020-03-09,1212
2020-03-10,1709
2020-03-11,2234
2020-03-12,2961
2020-03-13,3929
2020-03-14,5148
2020-03-15,7287
2020-03-16,9659
2020-03-17,12888
2020-03-18,17754
2020-03-19,23871
2020-03-20,31435
2020-03-21,40545
2020-03-22,51335
2020-03-23,62092
2020-03-24,73424
2020-03-25,87547
2020-03-26,106032
2020-03-27,126388
2020-03-28,147076
2020-03-29,173275
2020-03-30,188848
2020-03-31,212138
2020-04-01,240827
2020-04-02,270719
2020-04-03,302809
2020-04-04,334970
2020-04-05,361975
2020-04-06,390633
2020-04-07,420044
2020-04-08,454269
2020-04-09,489076
2020-04-10,522267
2020-04-11,553827
2020-04-12,580921
2020-04-13,606188
2020-04-14,631469
2020-04-15,656717
2020-04-16,688267
2020-04-17,718618
2020-04-18,746909
2020-04-19,772979
2020-04-20,799428
2020-04-21,825369
2020-04-22,855859
2020-04-23,889106
2020-04-24,923915
2020-04-25,957526
2020-04-26,983592
2020-04-27,1007378
2020-04-28,1031326
2020-04-29,1058125
2020-04-30,1089366
2020-05-01,1122459
2020-05-02,1150756
2020-05-03,1176684
2020-05-04,1199020
2020-05-05,1221914
2020-05-06,1247386
2020-05-07,1275950
2020-05-08,1304807
2020-05-09,1330726
2020-05-10,1351385
2020-05-11,1371356
2020-05-12,1395273
2020-05-13,1412616
2020-05-14,1447359
2020-05-15,1473997
2020-05-16,1500080
2020-05-17,1520002
2020-05-18,1542754
2020-05-19,1564698
2020-05-20,1588260
2020-05-21,1614464
2020-05-22,1640449
2020-05-23,1661929
2020-05-24,1682581
2020-05-25,1701971
2020-05-26,1719493
2020-05-27,1739025
2020-05-28,1763222
2020-05-29,1786982
2020-05-30,1811110
2020-05-31,1832580
2020-06-01,1849772
2020-06-02,1870757
2020-06-03,1891492
2020-06-04,1912387
2020-06-05,1936899
2020-06-06,1960193
2020-06-07,1978652
2020-06-08,1996809
2020-06-09,2015440
2020-06-10,2037653
2020-06-11,2060570
2020-06-12,2088915
2020-06-13,2115361
2020-06-14,2136151
2020-06-15,2156747
2020-06-16,2181535
2020-06-17,2207404
2020-06-18,2235943
2020-06-19,2269087
2020-06-20,2302554
2020-06-21,2329901
2020-06-22,2358634
2020-06-23,2396529
2020-06-24,2433917
2020-06-25,2480973
2020-06-26,2527542
2020-06-27,2571244
2020-06-28,2608857
2020-06-29,2647416
2020-06-30,2694728
2020-07-01,2754135
2020-07-02,2809790
2020-07-03,2870229
2020-07-04,2919291
2020-07-05,2959745
2020-07-06,3010580
2020-07-07,3067480
2020-07-08,3132279
2020-07-09,3194325
2020-07-10,3263078
2020-07-11,3331678
2020-07-12,3390509
2020-07-13,3446906
2020-07-14,3511614
2020-07-15,3584255
2020-07-16,3653813
2020-07-17,3731028
2020-07-18,3798353
2020-07-19,3858644
2020-07-20,3917272
2020-07-21,3980850
2020-07-22,4053568
2020-07-23,4126996
2020-07-24,4200409
2020-07-25,4262191
2020-07-26,4320155
2020-07-27,4374291
2020-07-28,4433268
