Table with row headers in column A and column headers in rows 5 through 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-01 Type of Health Insurance Coverage by Selected Characteristics: 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands, confidence intervals [C.I.] in thousands or percentage points as appropriate.  People as of March of the following year.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www.census.gov/prod/techdoc/cps/cpsmar19.pdf>.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Any health insurance,,,,Private health insurance,,,,,,,,,,,,,,,,Public health insurance,,,,,,,,,,,,,,,,Uninsured,,,
,,,,,,Private Total,,,,Employment-based,,,,Direct-purchase,,,,TRICARE,,,,Public Total,,,,Medicare,,,,Medicaid,,,,VA or CHAMPVA,,,,,,,
,,Number," 90
 Percent
 C.I. 1 (±)",Percent," 90
 Percent
 C.I. 1 (±)",Number," 90
 Percent
 C.I. 1 (±)",Percent," 90
 Percent
 C.I. 1 (±)",Number," 90
 Percent
 C.I. 1 (±)",Percent," 90
 Percent
 C.I. 1 (±)",Number," 90
 Percent
 C.I. 1 (±)",Percent," 90
 Percent
 C.I. 1 (±)",Number," 90
 Percent
 C.I. 1 (±)",Percent," 90
 Percent
 C.I. 1 (±)",Number," 90
 Percent
 C.I. 1 (±)",Percent," 90
 Percent
 C.I. 1 (±)",Number," 90
 Percent
 C.I. 1 (±)",Percent," 90
 Percent
 C.I. 1 (±)",Number," 90
 Percent
 C.I. 1 (±)",Percent," 90
 Percent
 C.I. 1 (±)",Number," 90
 Percent
 C.I. 1 (±)",Percent," 90
 Percent
 C.I. 1 (±)",Number," 90
 Percent
 C.I. 1 (±)",Percent," 90
 Percent
 C.I. 1 (±)"
Total,"323,668","296,206",641,91.5,0.2,"217,780","1,222",67.3,0.4,"178,350","1,283",55.1,0.4,"34,846",647,10.8,0.2,"8,537",508,2.6,0.2,"111,330",962,34.4,0.3,"57,720",401,17.8,0.1,"57,819",891,17.9,0.3,"3,217",182,1.0,0.1,"27,462",630,8.5,0.2
Family Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In families,"261,336","240,796","1,017",92.1,0.2,"179,546","1,235",68.7,0.4,"149,196","1,221",57.1,0.5,"25,888",580,9.9,0.2,"7,549",486,2.9,0.2,"85,995","1,009",32.9,0.4,"39,243",484,15.0,0.2,"49,078",852,18.8,0.3,"2,053",146,0.8,0.1,"20,540",551,7.9,0.2
.Householder,"83,508","77,131",475,92.4,0.3,"60,097",462,72.0,0.4,"48,546",442,58.1,0.4,"10,067",231,12.1,0.3,"2,647",179,3.2,0.2,"28,723",368,34.4,0.4,"19,593",298,23.5,0.3,"10,022",218,12.0,0.3,"1,169",94,1.4,0.1,"6,376",217,7.6,0.3
.Related children under 18,"71,750","67,976",297,94.7,0.3,"44,514",522,62.0,0.7,"39,142",546,54.6,0.8,"4,122",224,5.7,0.3,"1,849",182,2.6,0.3,"25,553",509,35.6,0.7,270,72,0.4,0.1,"25,290",518,35.2,0.7,69,32,0.1,Z,"3,774",209,5.3,0.3
..Related children under 6,"22,720","21,536",145,94.8,0.5,"13,555",225,59.7,1.0,"11,924",237,52.5,1.0,"1,127",101,5.0,0.4,723,96,3.2,0.4,"8,634",240,38.0,1.0,68,26,0.3,0.1,"8,557",241,37.7,1.0,21,12,0.1,0.1,"1,183",107,5.2,0.5
