Table with row headers in column A and column headers in rows 7 through 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-01. Health Insurance Coverage Status and Type of Coverage by Selected Characteristics: 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to a processing error that affected the number of employees variable (NOEMP) in the 2020 CPS ASEC file, elements of this table have been revised.  For more information, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2020 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands, margins of error in thousands or percentage points as appropriate. People as of March of the following year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Any health insurance,,,,Private health insurance,,,,,,,,,,,,,,,,Public health insurance,,,,,,,,,,,,,,,,Uninsured2,,,
,,,,,,Private total,,,,Employment-based,,,,Direct-purchase,,,,TRICARE,,,,Public total,,,,Medicare,,,,Medicaid,,,,VA or CHAMPVA,,,,,,,
,,Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±)
Total,"324,550","298,438",689,92.0,0.2,"220,848","1,121",68.0,0.3,"183,005","1,142",56.4,0.4,"33,170",776,10.2,0.2,"8,534",522,2.6,0.2,"110,687",967,34.1,0.3,"58,779",408,18.1,0.1,"55,851",927,17.2,0.3,"3,221",188,1.0,0.1,"26,111",657,8.0,0.2
Family Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In families,"262,991","243,511",970,92.6,0.2,"182,485","1,186",69.4,0.4,"153,350","1,146",58.3,0.4,"24,733",716,9.4,0.3,"7,592",507,2.9,0.2,"86,152",972,32.8,0.4,"40,424",487,15.4,0.2,"47,827",876,18.2,0.3,"2,133",156,0.8,0.1,"19,480",586,7.4,0.2
..Householder,"83,698","77,898",495,93.1,0.2,"60,605",469,72.4,0.4,"49,517",447,59.2,0.4,"9,680",276,11.6,0.3,"2,596",172,3.1,0.2,"29,205",390,34.9,0.4,"20,110",294,24.0,0.3,"9,921",251,11.9,0.3,"1,167",97,1.4,0.1,"5,800",201,6.9,0.2
..Related children under 18,"71,148","67,596",303,95.0,0.3,"45,381",515,63.8,0.7,"40,350",504,56.7,0.7,"3,658",205,5.1,0.3,"1,877",181,2.6,0.3,"24,378",506,34.3,0.7,207,48,0.3,0.1,"24,070",496,33.8,0.7,146,46,0.2,0.1,"3,552",211,5.0,0.3
....Related children under 6,"22,439","21,372",155,95.2,0.4,"13,835",251,61.7,1.1,"12,187",258,54.3,1.1,"1,065",107,4.7,0.5,729,95,3.2,0.4,"8,221",250,36.6,1.1,59,21,0.3,0.1,"8,128",244,36.2,1.1,55,25,0.2,0.1,"1,066",98,4.8,0.4
In unrelated subfamilies,941,852,122,90.6,3.6,551,98,58.5,6.0,457,91,48.6,6.5,74,35,7.9,3.5,26,15,2.8,1.6,359,73,38.2,6.2,16,10,1.7,1.1,347,70,36.8,6.1,5,7,0.5,0.7,89,37,9.4,3.6
Unrelated individuals,"60,618","54,075",700,89.2,0.4,"37,811",577,62.4,0.6,"29,197",538,48.2,0.6,"8,363",264,13.8,0.4,916,88,1.5,0.1,"24,176",437,39.9,0.6,"18,340",370,30.3,0.5,"7,677",281,12.7,0.4,"1,083",100,1.8,0.2,"6,543",265,10.8,0.4
Race3 and Hispanic Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
