Table with row headers in column A and column headers in rows 7 through 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-01. Health Insurance Coverage Status and Type of Coverage by Selected Characteristics for All People: 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands, margins of error in thousands or percentage points as appropriate. People as of March of the following year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Any health insurance,,,,Private health insurance,,,,,,,,,,,,,,,,Public health insurance,,,,,,,,,,,,,,,,Uninsured2,,,
,,,,,,Private total,,,,Employment-based,,,,Direct-purchase,,,,TRICARE,,,,Public total,,,,Medicare,,,,Medicaid,,,,VA or CHAMPVA,,,,,,,
,,Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±),Number,Margin of error1 (±),Percent,Margin of error1 (±)
Total,"328,074","300,887",748,91.7,0.2,"216,366","1,077",66.0,0.3,"178,285","1,123",54.3,0.3,"33,555",705,10.2,0.2,"8,299",527,2.5,0.2,"117,095",911,35.7,0.3,"60,226",378,18.4,0.1,"61,940",843,18.9,0.3,"3,151",192,1.0,0.1,"27,187",727,8.3,0.2
Family Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In families,"263,127","242,912","1,095",92.3,0.2,"177,408","1,268",67.4,0.4,"148,318","1,266",56.4,0.4,"24,939",635,9.5,0.2,"7,186",503,2.7,0.2,"90,310",894,34.3,0.3,"40,859",460,15.5,0.2,"52,237",793,19.9,0.3,"2,138",161,0.8,0.1,"20,214",648,7.7,0.2
..Householder,"84,283","78,097",513,92.7,0.3,"59,746",522,70.9,0.4,"48,773",512,57.9,0.5,"9,683",260,11.5,0.3,"2,495",181,3.0,0.2,"29,890",335,35.5,0.4,"19,777",283,23.5,0.3,"11,145",261,13.2,0.3,"1,121",98,1.3,0.1,"6,187",219,7.3,0.3
..Related children under 18,"71,491","68,047",312,95.2,0.3,"44,478",493,62.2,0.7,"39,375",520,55.1,0.7,"3,854",231,5.4,0.3,"1,731",170,2.4,0.2,"25,905",480,36.2,0.7,334,70,0.5,0.1,"25,573",475,35.8,0.6,99,36,0.1,Z,"3,444",227,4.8,0.3
....Related children under 6,"21,566","20,510",169,95.1,0.5,"13,017",255,60.4,1.1,"11,533",257,53.5,1.1,"1,051",115,4.9,0.5,554,80,2.6,0.4,"8,206",229,38.1,1.1,77,25,0.4,0.1,"8,126",227,37.7,1.1,33,18,0.2,0.1,"1,055",115,4.9,0.5
In unrelated subfamilies,"1,024",864,120,84.3,4.5,474,85,46.3,6.6,418,81,40.9,6.6,53,23,5.2,2.2,9,10,0.9,0.9,416,84,40.6,5.7,22,15,2.2,1.4,394,81,38.5,5.6,Z,1,Z,0.1,160,53,15.7,4.5
Unrelated individuals,"63,923","57,111",877,89.3,0.5,"38,483",732,60.2,0.7,"29,549",636,46.2,0.7,"8,562",297,13.4,0.4,"1,103",113,1.7,0.2,"26,369",510,41.3,0.6,"19,345",439,30.3,0.6,"9,309",315,14.6,0.5,"1,012",103,1.6,0.2,"6,812",304,10.7,0.5
Race3 and Hispanic Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,"248,776","228,342",612,91.8,0.2,"168,728",974,67.8,0.4,"137,817",964,55.4,0.4,"27,547",668,11.1,0.3,"6,431",432,2.6,0.2,"87,106",754,35.0,0.3,"49,236",333,19.8,0.1,"41,262",693,16.6,0.3,"2,468",169,1.0,0.1,"20,434",581,8.2,0.2
"..White, not Hispanic","194,186","184,086",458,94.8,0.2,"142,217",882,73.2,0.4,"115,995",892,59.7,0.5,"23,249",580,12.0,0.3,"5,623",382,2.9,0.2,"67,238",672,34.6,0.3,"44,404",307,22.9,0.2,"25,442",607,13.1,0.3,"2,229",161,1.1,0.1,"10,100",398,5.2,0.2
Black,"43,963","40,004",273,91.0,0.6,"24,233",510,55.1,1.2,"20,478",505,46.6,1.2,"2,936",214,6.7,0.5,"1,109",164,2.5,0.4,"18,753",455,42.7,1.0,"6,840",156,15.6,0.4,"13,002",454,29.6,1.0,450,70,1.0,0.2,"3,959",262,9.0,0.6
Asian,"20,681","19,407",234,93.8,0.7,"14,971",310,72.4,1.4,"12,719",307,61.5,1.4,"2,231",173,10.8,0.8,274,60,1.3,0.3,"5,667",272,27.4,1.3,"2,826",94,13.7,0.4,"3,308",269,16.0,1.3,96,28,0.5,0.1,"1,274",139,6.2,0.7
Hispanic (any race),"62,515","51,104",403,81.7,0.6,"30,489",538,48.8,0.9,"25,240",542,40.4,0.9,"4,753",284,7.6,0.5,"1,001",139,1.6,0.2,"23,113",485,37.0,0.8,"5,508",137,8.8,0.2,"18,481",467,29.6,0.7,271,50,0.4,0.1,"11,410",403,18.3,0.6
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 65 years,"271,881","245,349",732,90.2,0.3,"188,988",997,69.5,0.4,"164,601","1,088",60.5,0.4,"21,266",630,7.8,0.2,"6,422",487,2.4,0.2,"64,536",865,23.7,0.3,"7,750",311,2.9,0.1,"57,758",829,21.2,0.3,"1,895",152,0.7,0.1,"26,532",717,9.8,0.3
..Under 19 years 4,"77,026","73,140",296,95.0,0.3,"47,643",506,61.9,0.6,"42,113",535,54.7,0.7,"4,232",242,5.5,0.3,"1,830",176,2.4,0.2,"28,053",466,36.4,0.6,367,78,0.5,0.1,"27,687",463,35.9,0.6,106,36,0.1,Z,"3,886",245,5.0,0.3
....Under 3 years 5,"10,221","9,636",132,94.3,0.7,"6,013",169,58.8,1.4,"5,280",161,51.7,1.4,491,73,4.8,0.7,280,52,2.7,0.5,"3,931",154,38.5,1.5,28,14,0.3,0.1,"3,901",153,38.2,1.5,11,9,0.1,0.1,585,75,5.7,0.7
....3 to 5 years,"11,668","11,148",141,95.5,0.6,"7,071",178,60.6,1.3,"6,296",180,54.0,1.4,583,69,5.0,0.6,277,44,2.4,0.4,"4,496",146,38.5,1.2,49,22,0.4,0.2,"4,446",144,38.1,1.2,23,14,0.2,0.1,520,73,4.5,0.6
....6 to 11 years,"24,440","23,333",126,95.5,0.4,"15,023",231,61.5,0.9,"13,291",243,54.4,1.0,"1,300",118,5.3,0.5,610,81,2.5,0.3,"9,106",229,37.3,0.9,153,49,0.6,0.2,"8,971",230,36.7,0.9,31,17,0.1,0.1,"1,107",105,4.5,0.4
....12 to 18 years,"30,696","29,022",184,94.5,0.4,"19,536",251,63.6,0.8,"17,246",262,56.2,0.8,"1,858",146,6.1,0.5,664,83,2.2,0.3,"10,521",266,34.3,0.8,137,36,0.4,0.1,"10,369",265,33.8,0.8,41,19,0.1,0.1,"1,674",130,5.5,0.4
