Series ID,Year,Period,Label,Value
LNS14032183,2018,M01,2018 Jan,2.9
LNS14032183,2018,M02,2018 Feb,3.0
LNS14032183,2018,M03,2018 Mar,3.1
LNS14032183,2018,M04,2018 Apr,2.9
LNS14032183,2018,M05,2018 May,2.2
LNS14032183,2018,M06,2018 Jun,3.2
LNS14032183,2018,M07,2018 Jul,3.0
LNS14032183,2018,M08,2018 Aug,2.9
LNS14032183,2018,M09,2018 Sep,3.5
LNS14032183,2018,M10,2018 Oct,3.1
LNS14032183,2018,M11,2018 Nov,2.8
LNS14032183,2018,M12,2018 Dec,3.3
LNS14032183,2019,M01,2019 Jan,3.0
LNS14032183,2019,M02,2019 Feb,3.2
LNS14032183,2019,M03,2019 Mar,3.1
LNS14032183,2019,M04,2019 Apr,2.3
LNS14032183,2019,M05,2019 May,2.5
LNS14032183,2019,M06,2019 Jun,2.1
LNS14032183,2019,M07,2019 Jul,2.7
LNS14032183,2019,M08,2019 Aug,2.7
LNS14032183,2019,M09,2019 Sep,2.5
LNS14032183,2019,M10,2019 Oct,2.8
LNS14032183,2019,M11,2019 Nov,2.6
LNS14032183,2019,M12,2019 Dec,2.6
LNS14032183,2020,M01,2020 Jan,3.0
LNS14032183,2020,M02,2020 Feb,2.6
LNS14032183,2020,M03,2020 Mar,4.2
LNS14032183,2020,M04,2020 Apr,14.5
LNS14032183,2020,M05,2020 May,14.9
LNS14032183,2020,M06,2020 Jun,13.7
LNS14032183,2020,M07,2020 Jul,11.9
LNS14032183,2020,M08,2020 Aug,10.6
LNS14032183,2020,M09,2020 Sep,8.9
LNS14032183,2020,M10,2020 Oct,7.5
LNS14032183,2020,M11,2020 Nov,6.7
LNS14032183,2020,M12,2020 Dec,6.0
LNS14032183,2021,M01,2021 Jan,6.6
LNS14032183,2021,M02,2021 Feb,5.2
LNS14032183,2021,M03,2021 Mar,6.0
LNS14032183,2021,M04,2021 Apr,5.7
LNS14032183,2021,M05,2021 May,5.6
LNS14032183,2021,M06,2021 Jun,5.7
LNS14032183,2021,M07,2021 Jul,5.2
LNS14032183,2021,M08,2021 Aug,4.5
LNS14032183,2021,M09,2021 Sep,4.2
LNS14032183,2021,M10,2021 Oct,4.2
LNS14032183,2021,M11,2021 Nov,3.8
LNS14032183,2021,M12,2021 Dec,3.8
