Series ID,Year,Period,Label,Value
LNU04034262,2018,M01,2018 Jan,6.8
LNU04034262,2018,M02,2018 Feb,6.7
LNU04034262,2018,M03,2018 Mar,5.7
LNU04034262,2018,M04,2018 Apr,5.5
LNU04034262,2018,M05,2018 May,5.4
LNU04034262,2018,M06,2018 Jun,6.2
LNU04034262,2018,M07,2018 Jul,5.3
LNU04034262,2018,M08,2018 Aug,6.0
LNU04034262,2018,M09,2018 Sep,5.2
LNU04034262,2018,M10,2018 Oct,5.2
LNU04034262,2018,M11,2018 Nov,5.3
LNU04034262,2018,M12,2018 Dec,5.6
LNU04034262,2019,M01,2019 Jan,6.5
LNU04034262,2019,M02,2019 Feb,6.2
LNU04034262,2019,M03,2019 Mar,5.9
LNU04034262,2019,M04,2019 Apr,4.4
LNU04034262,2019,M05,2019 May,5.3
LNU04034262,2019,M06,2019 Jun,5.5
LNU04034262,2019,M07,2019 Jul,5.9
LNU04034262,2019,M08,2019 Aug,4.9
LNU04034262,2019,M09,2019 Sep,4.6
LNU04034262,2019,M10,2019 Oct,5.1
LNU04034262,2019,M11,2019 Nov,4.8
LNU04034262,2019,M12,2019 Dec,5.0
LNU04034262,2020,M01,2020 Jan,6.2
LNU04034262,2020,M02,2020 Feb,5.7
LNU04034262,2020,M03,2020 Mar,8.5
LNU04034262,2020,M04,2020 Apr,35.4
LNU04034262,2020,M05,2020 May,32.3
LNU04034262,2020,M06,2020 Jun,24.1
LNU04034262,2020,M07,2020 Jul,21.8
LNU04034262,2020,M08,2020 Aug,18.8
LNU04034262,2020,M09,2020 Sep,16.4
LNU04034262,2020,M10,2020 Oct,14.8
LNU04034262,2020,M11,2020 Nov,13.8
LNU04034262,2020,M12,2020 Dec,16.1
LNU04034262,2021,M01,2021 Jan,14.4
LNU04034262,2021,M02,2021 Feb,12.2
LNU04034262,2021,M03,2021 Mar,11.8
LNU04034262,2021,M04,2021 Apr,10.3
LNU04034262,2021,M05,2021 May,9.0
LNU04034262,2021,M06,2021 Jun,10.1
LNU04034262,2021,M07,2021 Jul,8.4
LNU04034262,2021,M08,2021 Aug,8.7
LNU04034262,2021,M09,2021 Sep,7.5
LNU04034262,2021,M10,2021 Oct,7.0
LNU04034262,2021,M11,2021 Nov,7.9
LNU04034262,2021,M12,2021 Dec,7.4
