Series ID,Year,Period,Label,Value
LNS14000009,2018,M01,2018 Jan,4.9
LNS14000009,2018,M02,2018 Feb,4.9
LNS14000009,2018,M03,2018 Mar,4.9
LNS14000009,2018,M04,2018 Apr,4.8
LNS14000009,2018,M05,2018 May,4.8
LNS14000009,2018,M06,2018 Jun,4.5
LNS14000009,2018,M07,2018 Jul,4.5
LNS14000009,2018,M08,2018 Aug,4.7
LNS14000009,2018,M09,2018 Sep,4.6
LNS14000009,2018,M10,2018 Oct,4.4
LNS14000009,2018,M11,2018 Nov,4.7
LNS14000009,2018,M12,2018 Dec,4.4
LNS14000009,2019,M01,2019 Jan,4.7
LNS14000009,2019,M02,2019 Feb,4.3
LNS14000009,2019,M03,2019 Mar,4.6
LNS14000009,2019,M04,2019 Apr,4.1
LNS14000009,2019,M05,2019 May,4.1
LNS14000009,2019,M06,2019 Jun,4.2
LNS14000009,2019,M07,2019 Jul,4.4
LNS14000009,2019,M08,2019 Aug,4.2
LNS14000009,2019,M09,2019 Sep,4.0
LNS14000009,2019,M10,2019 Oct,4.2
LNS14000009,2019,M11,2019 Nov,4.3
LNS14000009,2019,M12,2019 Dec,4.2
LNS14000009,2020,M01,2020 Jan,4.3
LNS14000009,2020,M02,2020 Feb,4.4
LNS14000009,2020,M03,2020 Mar,6.0
LNS14000009,2020,M04,2020 Apr,18.8
LNS14000009,2020,M05,2020 May,17.6
LNS14000009,2020,M06,2020 Jun,14.5
LNS14000009,2020,M07,2020 Jul,12.8
LNS14000009,2020,M08,2020 Aug,10.6
LNS14000009,2020,M09,2020 Sep,10.4
LNS14000009,2020,M10,2020 Oct,8.9
LNS14000009,2020,M11,2020 Nov,8.6
LNS14000009,2020,M12,2020 Dec,9.3
LNS14000009,2021,M01,2021 Jan,8.5
LNS14000009,2021,M02,2021 Feb,8.4
LNS14000009,2021,M03,2021 Mar,7.7
LNS14000009,2021,M04,2021 Apr,7.7
LNS14000009,2021,M05,2021 May,7.1
LNS14000009,2021,M06,2021 Jun,7.2
LNS14000009,2021,M07,2021 Jul,6.4
LNS14000009,2021,M08,2021 Aug,6.1
LNS14000009,2021,M09,2021 Sep,6.2
LNS14000009,2021,M10,2021 Oct,5.7
LNS14000009,2021,M11,2021 Nov,5.2
LNS14000009,2021,M12,2021 Dec,4.8
