Series ID,Year,Period,Label,Value
LNS14000003,2018,M01,2018 Jan,3.5
LNS14000003,2018,M02,2018 Feb,3.6
LNS14000003,2018,M03,2018 Mar,3.5
LNS14000003,2018,M04,2018 Apr,3.6
LNS14000003,2018,M05,2018 May,3.5
LNS14000003,2018,M06,2018 Jun,3.5
LNS14000003,2018,M07,2018 Jul,3.4
LNS14000003,2018,M08,2018 Aug,3.4
LNS14000003,2018,M09,2018 Sep,3.3
LNS14000003,2018,M10,2018 Oct,3.4
LNS14000003,2018,M11,2018 Nov,3.4
LNS14000003,2018,M12,2018 Dec,3.5
LNS14000003,2019,M01,2019 Jan,3.5
LNS14000003,2019,M02,2019 Feb,3.2
LNS14000003,2019,M03,2019 Mar,3.3
LNS14000003,2019,M04,2019 Apr,3.2
LNS14000003,2019,M05,2019 May,3.2
LNS14000003,2019,M06,2019 Jun,3.3
LNS14000003,2019,M07,2019 Jul,3.3
LNS14000003,2019,M08,2019 Aug,3.4
LNS14000003,2019,M09,2019 Sep,3.2
LNS14000003,2019,M10,2019 Oct,3.3
LNS14000003,2019,M11,2019 Nov,3.2
LNS14000003,2019,M12,2019 Dec,3.2
LNS14000003,2020,M01,2020 Jan,3.1
LNS14000003,2020,M02,2020 Feb,3.0
LNS14000003,2020,M03,2020 Mar,3.9
LNS14000003,2020,M04,2020 Apr,14.1
LNS14000003,2020,M05,2020 May,12.3
LNS14000003,2020,M06,2020 Jun,10.0
LNS14000003,2020,M07,2020 Jul,9.2
LNS14000003,2020,M08,2020 Aug,7.4
LNS14000003,2020,M09,2020 Sep,7.0
LNS14000003,2020,M10,2020 Oct,6.0
LNS14000003,2020,M11,2020 Nov,5.9
LNS14000003,2020,M12,2020 Dec,6.1
LNS14000003,2021,M01,2021 Jan,5.7
LNS14000003,2021,M02,2021 Feb,5.6
LNS14000003,2021,M03,2021 Mar,5.4
LNS14000003,2021,M04,2021 Apr,5.3
LNS14000003,2021,M05,2021 May,5.1
LNS14000003,2021,M06,2021 Jun,5.2
LNS14000003,2021,M07,2021 Jul,4.8
LNS14000003,2021,M08,2021 Aug,4.5
LNS14000003,2021,M09,2021 Sep,4.2
LNS14000003,2021,M10,2021 Oct,4.0
LNS14000003,2021,M11,2021 Nov,3.7
LNS14000003,2021,M12,2021 Dec,3.3
