Series ID,Year,Period,Label,Value
LNS13000000,2018,M01,2018 Jan,6489
LNS13000000,2018,M02,2018 Feb,6581
LNS13000000,2018,M03,2018 Mar,6472
LNS13000000,2018,M04,2018 Apr,6459
LNS13000000,2018,M05,2018 May,6196
LNS13000000,2018,M06,2018 Jun,6447
LNS13000000,2018,M07,2018 Jul,6195
LNS13000000,2018,M08,2018 Aug,6156
LNS13000000,2018,M09,2018 Sep,6073
LNS13000000,2018,M10,2018 Oct,6211
LNS13000000,2018,M11,2018 Nov,6115
LNS13000000,2018,M12,2018 Dec,6389
LNS13000000,2019,M01,2019 Jan,6439
LNS13000000,2019,M02,2019 Feb,6115
LNS13000000,2019,M03,2019 Mar,6182
LNS13000000,2019,M04,2019 Apr,5911
LNS13000000,2019,M05,2019 May,5941
LNS13000000,2019,M06,2019 Jun,5909
LNS13000000,2019,M07,2019 Jul,6008
LNS13000000,2019,M08,2019 Aug,5981
LNS13000000,2019,M09,2019 Sep,5775
LNS13000000,2019,M10,2019 Oct,5957
LNS13000000,2019,M11,2019 Nov,5911
LNS13000000,2019,M12,2019 Dec,5870
LNS13000000,2020,M01,2020 Jan,5804
LNS13000000,2020,M02,2020 Feb,5708
LNS13000000,2020,M03,2020 Mar,7184
LNS13000000,2020,M04,2020 Apr,23050
LNS13000000,2020,M05,2020 May,20939
LNS13000000,2020,M06,2020 Jun,17624
LNS13000000,2020,M07,2020 Jul,16324
LNS13000000,2020,M08,2020 Aug,13521
LNS13000000,2020,M09,2020 Sep,12599
LNS13000000,2020,M10,2020 Oct,11090
LNS13000000,2020,M11,2020 Nov,10760
LNS13000000,2020,M12,2020 Dec,10795
LNS13000000,2021,M01,2021 Jan,10155
LNS13000000,2021,M02,2021 Feb,9982
LNS13000000,2021,M03,2021 Mar,9712
LNS13000000,2021,M04,2021 Apr,9737
LNS13000000,2021,M05,2021 May,9257
LNS13000000,2021,M06,2021 Jun,9508
LNS13000000,2021,M07,2021 Jul,8704
LNS13000000,2021,M08,2021 Aug,8324
LNS13000000,2021,M09,2021 Sep,7677
LNS13000000,2021,M10,2021 Oct,7345
LNS13000000,2021,M11,2021 Nov,6780
LNS13000000,2021,M12,2021 Dec,6329
